               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.031045,             0.01551,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031192,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.032988,            0.014052,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032212,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.040915,            0.010451,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032212,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.035594,            0.013354,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035241,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.03861,           0.0094952,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035241,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.036494,            0.011632,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034719,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.046124,            0.011279,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034719,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.038072,            0.010346,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035677,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.027877,            0.010236,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035677,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.032553,            0.012144,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036684,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.037375,            0.014136,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036684,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.03636,            0.015155,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039209,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.035252,           0.0088696,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039209,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.042853,            0.017151,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039848,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.033015,            0.012246,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039848,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.032925,            0.012786,                   0,                   0,                   0,                   0,                   0,                   0,            0.004271,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.030222,            0.013247,                   0,                   0,                   0,                   0,                   0,                   0,            0.004271,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.03162,            0.012279,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042928,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.032744,            0.010218,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042928,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.036599,            0.013536,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043924,                   0,            0.005974,            0.005974,            0.005974
